,장소,주차장수,면수,주차장수 대비 면수
198,서울특별시 강남구 청담동 서울 강남구 청담동 77-56,3.0,304.0,101.33333333333333
199,서울특별시 강남구 대치동 891-23,11.0,2781.0,252.8181818181818
200,서울특별시 강남구 압구정동 440,0.0,0.0,0.0
201,서울특별시 강남구 대치동 삼성로 417 주변,12.0,3896.0,324.6666666666667
202,서울특별시 강남구 논현동 152-5,5.0,388.0,77.6
203,서울특별시 강남구 논현동 학동로 172 주변,8.0,436.0,54.5
204,서울특별시 강남구 논현동 언주로116길 6 주변,1.0,173.0,173.0
205,서울특별시 강남구 논현동 182-29,18.0,1228.0,68.22222222222223
206,서울특별시 강남구 청담동 도산대로94길 20 주변,5.0,796.0,159.2
207,서울특별시 강남구 청담동 학동로 425 주변,2.0,501.0,250.5
208,서울특별시 강남구 논현동 159-10,22.0,1032.0,46.90909090909091
209,서울특별시 강남구 신사동 논현로 874 주변,9.0,1472.0,163.55555555555554
210,서울특별시 강남구 수서동 724,0.0,0.0,0.0
211,서울특별시 강남구 압구정동 456,2.0,390.0,195.0
212,서울특별시 강남구 신사동 576,9.0,1472.0,163.55555555555554
213,서울특별시 강남구 압구정동 453,3.0,418.0,139.33333333333334
214,서울특별시 강남구 논현동 175,5.0,494.0,98.8
215,서울특별시 강남구 청담동 도산대로 524 주변,5.0,705.0,141.0
216,서울특별시 강남구 대치동 선릉로64길 23 주변,1.0,138.0,138.0
217,서울특별시 강남구 자곡동 662,0.0,0.0,0.0
218,서울특별시 강남구 도곡동 892-6,1.0,523.0,523.0
219,서울특별시 강남구 삼성동 144-2,14.0,5827.0,416.2142857142857
220,서울특별시 강남구 대치동 2,0.0,0.0,0.0
221,서울특별시 강남구 역삼동 804,10.0,2770.0,277.0
222,서울특별시 강남구 수서동 721-1,0.0,0.0,0.0
223,서울특별시 강남구 논현동 도산대로 110 주변,14.0,462.0,33.0
224,서울특별시 강남구 역삼동 824,31.0,3105.0,100.16129032258064
225,서울특별시 강남구 수서동 725,0.0,0.0,0.0
226,서울특별시 강남구 논현동 도산대로 122,15.0,509.0,33.93333333333333
227,서울특별시 강남구 삼성동 158-16,15.0,6461.0,430.73333333333335
228,서울특별시 강남구 대치동 대치동 212-6 주변,2.0,111.0,55.5
229,서울특별시 강남구 삼성동 167,10.0,3472.0,347.2
230,서울특별시 강남구 역삼동 700-33,11.0,2516.0,228.72727272727272
231,서울특별시 강남구 신사동 도산대로15길 29 주변,13.0,1109.0,85.3076923076923
232,서울특별시 강남구 개포동 197,0.0,0.0,0.0
233,서울특별시 강남구 역삼동 603-7,9.0,1059.0,117.66666666666667
234,서울특별시 강남구 삼성동 8,11.0,1149.0,104.45454545454545
235,서울특별시 강남구 신사동 압구정로50길28,1.0,45.0,45.0
236,서울특별시 강남구 역삼동 836-16,6.0,1054.0,175.66666666666666
237,서울특별시 강남구 논현2동 학동역 부근,14.0,462.0,33.0
238,서울특별시 강남구 일원동 617,0.0,0.0,0.0
239,서울특별시 강남구 대치동 943-24,12.0,6125.0,510.4166666666667
240,서울특별시 강남구 도곡동 강남대로 240 주변,1.0,363.0,363.0
241,서울특별시 강남구 역삼동 660-30,5.0,1972.0,394.4
242,서울특별시 강남구 수서동 220,0.0,0.0,0.0
243,서울특별시 강남구 수서동 715,0.0,0.0,0.0
244,서울특별시 강남구 대치동 988-15,2.0,111.0,55.5
245,서울특별시 강남구 대치동 514,0.0,0.0,0.0
246,서울특별시 강남구 압구정동 369-1,0.0,0.0,0.0
